,Sector,University,Year,Completions,Geography
168,"Public, 4-year or above",Western Nevada College,2013,522,Nevada
169,"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2012,110,Nevada
170,"Private for-profit, 2-year",Career College of Northern Nevada,2012,333,Nevada
171,"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2012,78,Nevada
172,"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2012,388,Nevada
173,"Public, 4-year or above",University of Nevada-Reno,2012,3453,Nevada
174,"Private for-profit, less-than 2-year",Milan Institute-Sparks,2012,248,Nevada
175,"Private for-profit, 2-year",International Academy of Style,2012,75,Nevada
176,"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2012,122,Nevada
177,"Private for-profit, 2-year",Carrington College-Reno,2012,145,Nevada
178,"Public, 4-year or above",College of Southern Nevada,2012,2348,Nevada
179,"Private for-profit, less-than 2-year",Institute of Professional Careers,2012,13,Nevada
180,"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2012,51,Nevada
181,"Private for-profit, 4-year or above",ITT Technical Institute-Las Vegas,2012,118,Nevada
182,"Public, 4-year or above",University of Nevada-Las Vegas,2012,5388,Nevada
183,"Private not-for-profit, 4-year or above",Touro University Nevada,2012,430,Nevada
184,"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2012,21,Nevada
185,"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2012,368,Nevada
186,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2012,153,Nevada
187,"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2012,593,Nevada
188,"Public, 4-year or above",Nevada State College,2012,272,Nevada
189,"Private for-profit, less-than 2-year",Advanced Training Institute,2012,218,Nevada
190,"Private for-profit, 2-year",Paul Mitchell the School-Reno,2012,78,Nevada
191,"Private not-for-profit, 2-year",Everest College-Henderson,2012,536,Nevada
192,"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2012,200,Nevada
193,"Private for-profit, 4-year or above",ITT Technical Institute-Henderson,2012,263,Nevada
194,"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2012,392,Nevada
195,"Private for-profit, 2-year",Northwest Career College,2012,138,Nevada
196,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2012,113,Nevada
197,"Public, 4-year or above",Great Basin College,2012,452,Nevada
198,"Private for-profit, 2-year",Brightwood College-Las Vegas,2012,568,Nevada
199,"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2012,325,Nevada
200,"Private for-profit, 2-year",Casal Institute of Nevada,2012,87,Nevada
201,"Private not-for-profit, 4-year or above",Sierra Nevada College,2012,241,Nevada
202,"Private for-profit, 2-year",Carrington College-Las Vegas,2012,120,Nevada
203,"Public, 4-year or above",Western Nevada College,2012,495,Nevada
204,"Private for-profit, 2-year",Nevada Career Institute,2012,101,Nevada
205,"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2012,129,Nevada
206,"Public, 2-year",Truckee Meadows Community College,2012,1170,Nevada
